
Solar - Structural Review,"",
Solar - CAD Lite,Internal,
Solar - CAD Redesign,Internal,
Solar - Structural Review,Email,
Solar - Panel Removal,Email,
Solar - Compensation,"",
Solar - Inspection Fail Reason,Internal,
Solar WiFi Offline,Sentinel,
Solar - Customer Escalation,CSLB,
Solar - Property Survey,Sales Manager/Customer,
Solar - Panel Removal,Attorney,
Solar - Customer Escalation,Social Media,
Solar - AB Electrical Review,Internal,
Troubleshooting,"",
Solar - Reroof,Email,
Solar - Structural Review,Office Administrator (OA),
Solar - Separate Building Inspection,Internal,
Solar - Service,Genie,
Solar - Reroof,Genie,
Solar - Panel Removal,Social Media,
Solar - Troubleshooting,NPS,
Solar - Transfer,Web,
Solar - Inspection,Internal,
Solar - Compensation,AG,
Solar - Cancellation Request,PV Design,
Solar - AB Electrical Review,Genie,
Solar Installation,Phone,
Solar - Deviation,"",
Solar - CAD Redesign,Email,
Solar - Billing,Email,
Solar Damage Resolutions,Email,
Solar - Troubleshooting,Web,
Solar - Service,Email,
Solar - Panel Removal,Customer,
Solar - Customer Escalation,Customer Experience,
Solar - Customer Escalation,Internal,
Solar - Panel Removal,Damage Resolutions,
Solar Installation,Chat,
Solar - AB Design Review,Internal,
Solar - CAD Lite,"",
Solar - Account Maintenance,Phone,
Solar - Troubleshooting,Internal,
Solar - De-Rate,PV Design,
Solar - Troubleshooting,Genie,
Solar - Panel Removal,CSM/Customer,
Solar - Electrical Inspection,Phone,
Solar - Customer Escalation,Yelp,
Solar Damage Resolutions,Chat,
